PropertyDamageRef,PropertyDamageSystemId,PropertyDamageID,CaseRef,PropertyDamage_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"PD_LA_67","LA",67,"C_EGD_147","Ale","LEM","09_26_01_16:06:16","LEM","09_26_01_16:06:20"
"PD_LA_68","LA",68,"C_EGD_140","Crops","LEM","10_01_01_10:30:15","LEM","10_01_01_10:30:16"
"PD_LA_69","LA",69,"C_EGD_141","Ale","LEM","10_01_01_13:03:45","LEM","10_01_01_13:03:45"
"PD_LA_7","LA",7,"C_EGD_160","Whole_Estate","LEM","05_17_01_10:57:42","LEM","05_17_01_10:57:50"
"PD_LA_72","LA",72,"C_EGD_59","Buildings","LEM","10_09_01_09:26:37","LEM","10_09_01_09:26:39"
"PD_LA_73","LA",73,"C_EGD_59","Boats","LEM","10_09_01_09:37:15","LEM","10_09_01_09:37:37"
"PD_LA_74","LA",74,"C_EGD_59","Crops","LEM","10_09_01_09:50:41","LEM","10_09_01_09:50:43"
"PD_LA_75","LA",75,"C_EGD_59","Animals","LEM","10_09_01_09:50:45","LEM","10_09_01_09:50:52"
"PD_LA_77","LA",77,"C_EGD_63","Boats","LEM","10_09_01_10:05:19","LEM","10_09_01_10:05:22"
"PD_LA_8","LA",8,"C_EGD_162","Animals","LEM","05_18_01_13:05:30","LEM","05_18_01_13:05:32"
"PD_LA_9","LA",9,"C_EGD_162","Buildings","LEM","05_18_01_13:05:33","LEM","05_18_01_13:05:35"
