Parishref,ParishId,ParishSystemId,Parish_Name,Parish_TLA,PFID,Medieval_Diocese,Medieval_Deanery,Parish_County,Parish_Burgh,Parish_NGR_Letters,Parish_NGR_Easting,Parish_NGR_Northing,Date_Comment,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"P_ST_1187",1187,"ST","Linton","LTN",1187,"Teviotdale","Teviotdale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1188",1188,"ST","Lamberton","LTX",1188,"Merse","Merse",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1189",1189,"ST","Lunan","LUN",1189,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_119",119,"ST","Burntisland",,119,"Merse","Fothriff",,,"NT",,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1190",1190,"ST","Lumphanan","LUP",1190,"Garioch","Marr",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1191",1191,"ST","Luss","LUS",1191,"Teviotdale","Lennox",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1192",1192,"ST","Lunan","LUX",1192,"Strathspey",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1193",1193,"ST","Laxavoe","LVX",1193,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1194",1194,"ST","Lochwinnoch","LWH",1194,"Teviotdale","Rutherglen",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1195",1195,"ST","Lerwick","LWK",1195,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1196",1196,"ST","Leswalt","LWT",1196,"Rhinns","Rhinns",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1197",1197,"ST","Logie_Wester","LWX",1197,"Ross",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1198",1198,"ST","Lyne","LYN",1198,"Teviotdale","Peebles",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1199",1199,"ST","Lagganallachy","LYX",1199,"South_of_Forth","Atholl_&_Drumalbane",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1200",1200,"ST","Lund","LXD",1200,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1201",1201,"ST","Madderty","MAD",1201,"South_of_Forth","Fife_&_Strathearn",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1202",1202,"ST","Markinch","MAI",1202,"Merse","Fothriff",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1203",1203,"ST","Makerston","MAK",1203,"Merse","Merse",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1204",1204,"ST","Manor","MAN",1204,"Teviotdale","Peebles",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1205",1205,"ST","Maxton","MAO",1205,"Teviotdale","Teviotdale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1206",1206,"ST","Marnoch","MAR",1206,"Strathspey","Strathbogie",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1207",1207,"ST","Muiravonside","MAS",1207,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1208",1208,"ST","Mauchline","MAU",1208,"Teviotdale","Kyle_&_Cunningham",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1209",1209,"ST","Maxwell","MAX",1209,"Teviotdale","Teviotdale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1210",1210,"ST","Maybole","MAY",1210,"Teviotdale","Carrick",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1211",1211,"ST","Morebattle","MBT",1211,"Teviotdale","Teviotdale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1212",1212,"ST","Montbrey","MBX",1212,"Garioch",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1213",1213,"ST","Mid_Calder","MCR",1213,"Merse","Linlithgow",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1214",1214,"ST","Moy_&_Dalarossie","MDL",1214,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1215",1215,"ST","Mearns","MEA",1215,"Teviotdale","Rutherglen",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
