CommissionRef,CommissionSystemId,CommissionID,Trialref,Commbody,Commtype,Commexists,Commdate,Commdate_as_date,Seal,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CO_LA_640","LA",640,"T_LA_796","Privy_Council","Interrogation_and_Arrest",1,"8_9_1630","09_08_30_00:00:00","signet",,"LEM","09_06_01_15:14:07","LEM","09_06_01_15:14:16"
"CO_LA_641","LA",641,"T_LA_797","Privy_Council","Arrest_and_Justiciary",1,"8_9_1630","09_08_30_00:00:00","signet",,"LEM","09_06_01_15:37:23","LEM","09_06_01_15:37:39"
"CO_LA_642","LA",642,"T_LA_798","Privy_Council","Justiciary",1,"8_9_1630","09_08_30_00:00:00",,,"LEM","09_06_01_15:39:52","LEM","09_06_01_15:40:11"
"CO_LA_643","LA",643,"T_LA_784","Privy_Council","Investigation",1,"2_11_1630","11_02_30_00:00:00",,"order_for_him_to_be_confronted_by_Agnes_Boyd,_a_confessed_witch_who_denounced_him","LEM","09_06_01_15:42:31","LEM","09_06_01_15:43:12"
"CO_LA_644","LA",644,"T_LA_800","Privy_Council",,1,"11_1_1631","01_11_31_00:00:00",,"of_St_Andrews","LEM","09_06_01_16:13:14","jhm","10_03_02_11:00:27"
"CO_LA_645","LA",645,"T_LA_801","Privy_Council",,1,,,,"PC_order_of_execution_for_a_local_trial_that_had_taken_place_under_a_previous_commission.","LEM","09_06_01_16:24:48","LEM","08_26_02_10:17:35"
"CO_LA_646","LA",646,"T_LA_802",,,0,,,,,"LEM","09_07_01_10:05:47","LEM","09_07_01_10:05:57"
"CO_LA_647","LA",647,"T_LA_808","Privy_Council","Arrest",1,"10_1_1631","01_10_31_00:00:00",,"The_minister_of_Leith_requested_a_warrant_for_arrest_because_the_bailies_refused_to_arrest_her_without_a_warrant_from_the_PC._The_PC_granted_it.","LEM","09_07_01_15:24:31","jhm","10_03_02_11:10:30"
"CO_LA_648","LA",648,"T_LA_808","Privy_Council","Suspension_of_Justiciary",1,"9_2_1632","02_09_32_00:00:00",,"The_PC_charged_the_bailies_to_deliver_her_to_them_for_examination_on_Tuesday_next.__They_discharged_them_of_proceeding_against_her_in_the_meantime_by_virtue_of_a_previously_granted_commission.__They_called_witnesses_as_well.","LEM","09_07_01_15:28:38","jhm","10_03_02_11:11:06"
"CO_LA_649","LA",649,"T_LA_808","Privy_Council","Investigation",1,"14_2_1632","02_14_32_00:00:00",,"The_Privy_Council_interviewed_a_doctor_for_evidence_in_her_case.","LEM","09_07_01_15:32:07","LEM","09_07_01_15:33:24"
"CO_LA_65","LA",65,"T_LA_15","Privy_Council","Investigation",1,"7_1_1630","01_07_30_00:00:00",,"Description_of_how_his_depositions_were_taken,_his_primary_statement_taker_was_ilater_mprisoned_for_perjury.","LEM","06_13_01_10:30:38","jhm","10_21_02_14:53:02"
"CO_LA_650","LA",650,"T_LA_808","Privy_Council","Justiciary",1,"14_2_1631","02_14_31_00:00:00",,"they_ordained_the_bailies_of_Leith_to_try_her_and_report_back_on_Tuesday_next.","LEM","09_07_01_15:36:09","LEM","09_07_01_15:39:08"
"CO_LA_651","LA",651,"T_LA_810","Privy_Council","Justiciary",1,"28_2_1632","02_28_32_00:00:00",,,"LEM","09_07_01_15:51:00","LEM","09_07_01_15:51:43"
"CO_LA_652","LA",652,"T_LA_812","Privy_Council","Justiciary",1,"28_2_1632","02_28_32_00:00:00",,,"LEM","09_07_01_15:55:59","LEM","09_07_01_15:56:15"
"CO_LA_653","LA",653,"T_LA_812","Privy_Council","Justiciary",1,"6_3_1632","03_06_32_00:00:00",,"nominated_judges_for_their_trials","LEM","09_07_01_15:57:18","jhm","10_03_02_11:14:31"
"CO_LA_654","LA",654,"T_LA_810","Privy_Council","Justiciary",1,"6_3_1632","03_06_32_00:00:00",,"appointing_judges_for_her_trial","LEM","09_07_01_16:01:22","LEM","09_07_01_16:01:41"
"CO_LA_655","LA",655,"T_LA_813","Privy_Council","Release",1,"13_4_1632","04_13_32_00:00:00",,"ordered_released_and_cautioned_to_stand_trial.,_the_case_continued_till_5_6_1632","LEM","09_07_01_16:22:08","LEM","09_07_01_16:25:57"
"CO_LA_66","LA",66,"T_LA_24","Privy_Council","Arrest",1,"2_2_1630","02_02_30_00:00:00",,"Order_for_arrest","LEM","06_13_01_10:33:04","LEM","06_14_01_14:03:48"
