Case_personRef,Case_personID,Case_personSystemId,CaseRef,PersonRef,Involvement,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CP_LA_2121",2121,"LA","C_EGD_1200","JO_298","Commissioner",,"LEM","08_30_01_11:10:49","LEM","08_30_01_11:10:51"
"CP_LA_2122",2122,"LA","C_EGD_577","LA_621","Cautioner",,"LEM","09_05_01_11:45:25","LEM","09_05_01_11:47:14"
"CP_LA_2123",2123,"LA","C_EGD_577","LA_622","Cautioner",,"LEM","09_05_01_11:47:16","LEM","09_05_01_11:47:40"
"CP_LA_2124",2124,"LA","C_EGD_170","LA_138","Commissioner",,"LEM","09_06_01_12:23:30","LEM","09_06_01_12:23:39"
"CP_LA_2125",2125,"LA","C_LA_2876",,"Commissioner","Sheriff_and_bailies_of_Aberdeen","LEM","09_06_01_12:41:51","LEM","09_06_01_12:41:58"
"CP_LA_2126",2126,"LA","C_EGD_1238","LA_623","Commissioner",,"LEM","09_06_01_12:48:55","LEM","09_06_01_12:49:33"
"CP_LA_2127",2127,"LA","C_EGD_1238","LA_624","Commissioner",,"LEM","09_06_01_12:49:50","LEM","09_06_01_12:50:15"
"CP_LA_2128",2128,"LA","C_EGD_1238","LA_625","Commissioner",,"LEM","09_06_01_12:50:17","LEM","09_06_01_12:50:41"
"CP_LA_2129",2129,"LA","C_EGD_1236","LA_508","Commissioner",,"LEM","09_06_01_12:52:16","LEM","09_06_01_12:52:19"
"CP_LA_213",213,"LA","C_EGD_949","LA_136","Commissioner",,"LEM","06_18_01_10:52:43","LEM","06_18_01_10:52:54"
"CP_LA_2130",2130,"LA","C_EGD_1236",,"Commissioner","provost_and_bailies_of_Tain","LEM","09_06_01_12:52:23","jhm","10_03_02_10:15:36"
"CP_LA_2131",2131,"LA","C_EGD_1237","LA_508","Commissioner",,"LEM","09_06_01_12:53:56","LEM","09_06_01_12:53:58"
"CP_LA_2132",2132,"LA","C_EGD_1237",,"Commissioner","provost_and_bailies_of_Tain","LEM","09_06_01_12:53:58","LEM","09_06_01_12:54:04"
"CP_LA_2133",2133,"LA","C_EGD_1239","LA_540","Commissioner",,"LEM","09_06_01_12:56:43","LEM","09_06_01_12:56:59"
"CP_LA_2134",2134,"LA","C_EGD_1243",,"Commissioner","sheriff_and_provost_and_bailies_of_Aberdeen","LEM","09_06_01_13:25:49","LEM","09_06_01_13:26:02"
"CP_LA_2135",2135,"LA","C_EGD_1242",,"Commissioner","sheriff,_provost,_bailies_of_Aberdeen","LEM","09_06_01_13:30:39","LEM","09_06_01_13:30:52"
"CP_LA_2136",2136,"LA","C_EGD_1241",,"Commissioner","sheriff,_provost,_bailie_of_Aberdeen","LEM","09_06_01_13:31:44","jhm","10_03_02_10:27:15"
"CP_LA_2137",2137,"LA","C_EGD_1244",,"Commissioner","sheriff,_bailie,_provost_of_Aberdeen","LEM","09_06_01_13:34:35","LEM","09_06_01_13:34:46"
"CP_LA_2138",2138,"LA","C_EGD_1245",,"Commissioner","sheriff,_provost,_bailie_of_Aberdeen","LEM","09_06_01_13:39:32","LEM","09_06_01_13:39:43"
"CP_LA_2139",2139,"LA","C_EGD_1246",,"Commissioner","sheriff,_provost,_bailie__of_Aberdeen","LEM","09_06_01_13:42:21","jhm","10_03_02_10:37:47"
