MentionRef,MentionSystemId,MentionID,Trialref,Mentiondate,Mentiondate_as_date,Mentiontype,TrialOfAccusedRef,TrialOfFirstName,TrialOfLastName,MentionedInTrialOfRef,dateOfMentionedTrial,dateOfMentionedTrial_as_date,FateOfMentionedWitch,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"MW_LA_365","LA",365,"T_LA_1099","26_2_1650","02_26_50_00:00:00",,"A_EGD_1352","Margaret","Finlasoun","T_LA_1096",,,,"he_had_drinks_and_bannock_with_her","LEM","10_23_01_13:23:03","LEM","10_23_01_13:23:36"
"MW_LA_366","LA",366,"T_LA_1100","26_2_1650","02_26_50_00:00:00",,"A_EGD_1352","Margaret","Finlasoun","T_LA_1096",,,"Burnt",,"LEM","10_23_01_13:24:52","LEM","10_23_01_13:25:13"
"MW_LA_367","LA",367,"T_LA_1101","26_2_1650","02_26_50_00:00:00",,"A_EGD_1352","Margaret","Finlasoun","T_LA_1096",,,,,"LEM","10_23_01_13:27:15","LEM","10_23_01_13:27:30"
"MW_LA_368","LA",368,"T_LA_1143","2_4_1659","04_02_59_00:00:00","Accomplice","A_EGD_781","Agnes_(Bigis)","Cairnes","T_LA_1141","9_4_1658",,"Burnt",,"LEM","11_30_01_10:38:47","LEM","11_30_01_10:39:29"
"MW_LA_369","LA",369,"T_LA_1143","2_4_1659","04_02_59_00:00:00","Accomplice","A_EGD_778","Jean","Thomson","T_LA_1144","9_4_1658",,"Burnt",,"LEM","11_30_01_11:48:06","LEM","11_30_01_11:51:28"
"MW_LA_370","LA",370,"T_LA_1143","2_4_1659","04_02_59_00:00:00","Accomplice","A_EGD_779","Margaret","Clerk","T_LA_1145","9_4_1658",,"Burnt",,"LEM","11_30_01_11:51:29","LEM","11_30_01_11:51:58"
"MW_LA_371","LA",371,"T_LA_1150","4_4_1659","04_04_59_00:00:00","Accomplice","A_EGD_783","Agnes","Clark","T_LA_1148","4_4_1659",,"Burnt",,"LEM","11_30_01_12:41:17","LEM","11_30_01_12:50:48"
"MW_LA_372","LA",372,"T_LA_1143","4_4_1659","04_04_59_00:00:00","Accomplice","A_EGD_782","Jannet","Corsan","T_LA_1146","9_4_1658",,"Burnt",,"LEM","11_30_01_12:55:15","LEM","11_30_01_12:55:44"
"MW_LA_373","LA",373,"T_LA_1154","9_5_1671","05_09_71_00:00:00","Accomplice","A_EGD_573","Geilles","Burnett","T_LA_1153",,,,"Burnett_was_tried_a_few_years_later.","LEM","12_03_01_09:45:34","LEM","12_03_01_09:46:07"
"MW_LA_374","LA",374,"T_LA_1155","9_5_1671","05_09_71_00:00:00","Accomplice","A_EGD_573","Geilles","Burnett","T_LA_1153",,,,"she_was_tried_earlier","LEM","12_03_01_09:46:35","LEM","12_03_01_09:46:50"
"MW_LA_375","LA",375,"T_LA_1206","12_5_1697","05_12_97_00:00:00","Accomplice","A_EGD_1756","Agnes","Naismith","T_LA_1189",,,,"She_was_mentioned_as_being_present_at_one_meeting_with_the_Devil","LEM","01_31_02_12:57:05","LEM","01_31_02_12:57:46"
"MW_LA_376","LA",376,"T_LA_1207","12_5_1697","05_12_97_00:00:00","Accomplice","A_EGD_1756","Agnes","Naismith","T_LA_1189",,,,"mentioned_in_the_trial_of_seven_people_tried_together.","LEM","01_31_02_13:00:56","LEM","01_31_02_13:01:23"
"MW_LA_382","LA",382,"T_LA_1271","22_1_1630","01_22_30_00:00:00","Denounced","A_EGD_155","Alexander","Hammiltoun","T_LA_15",,,,,"LEM","04_17_02_22:33:33","LEM","05_07_02_13:29:08"
"MW_LA_383","LA",383,"T_LA_1273","22_7_1629","07_22_29_00:00:00","Accomplice","A_EGD_663","Margaret","Loche","T_LA_645",,,,,"LEM","05_07_02_11:15:39","LEM","10_08_02_17:18:17"
"MW_LA_384","LA",384,"T_LA_1274","22_7_1629","07_22_29_00:00:00","Accomplice","A_EGD_663","Margaret","Loche","T_LA_645",,,,,"LEM","05_07_02_11:17:35","LEM","10_08_02_17:16:46"
"MW_LA_385","LA",385,"T_LA_1275","22_7_1629","07_22_29_00:00:00","Accomplice","A_EGD_663","Margaret","Loche","T_LA_645",,,,,"LEM","05_07_02_11:19:12","LEM","10_08_02_17:16:34"
"MW_LA_386","LA",386,"T_LA_1276","22_7_1629","07_22_29_00:00:00","Accomplice","A_EGD_663","Margaret","Loche","T_LA_645",,,,,"LEM","05_07_02_11:20:32","LEM","10_08_02_17:11:37"
"MW_LA_387","LA",387,"T_LA_1277","22_7_1629","07_22_29_00:00:00","Accomplice","A_EGD_663","Margaret","Loche","T_LA_645",,,,,"LEM","05_07_02_11:22:02","LEM","10_08_02_17:11:23"
"MW_LA_388","LA",388,"T_LA_1278",,,"Accomplice","A_LA_2585","Cristiane","Wilsoune","T_LA_143",,,,,"LEM","05_07_02_11:55:09","LEM","05_07_02_11:55:20"
"MW_LA_389","LA",389,"T_LA_1279",,,"Accomplice","A_LA_2585","Cristiane","Wilsoune","T_LA_143",,,,,"LEM","05_07_02_11:59:45","LEM","05_07_02_11:59:56"
"MW_LA_390","LA",390,"T_LA_1280",,,"Accomplice","A_LA_2585","Cristiane","Wilsoune","T_LA_143",,,,,"LEM","05_07_02_12:03:02","LEM","05_07_02_12:03:21"
"MW_LA_391","LA",391,"T_LA_1280","22_1_1630","01_22_30_00:00:00","Accomplice","A_EGD_155","Alexander","Hammiltoun","T_LA_15",,,,,"LEM","05_07_02_12:04:19","LEM","05_07_02_12:04:58"
"MW_LA_392","LA",392,"T_LA_1282","22_1_1630","01_22_30_00:00:00","Denounced","A_EGD_155","Alexander","Hammiltoun","T_LA_15",,,,,"LEM","05_07_02_13:11:25","LEM","05_07_02_13:11:37"
"MW_LA_394","LA",394,"T_LA_1284","22_1_1630","01_22_30_00:00:00","Denounced","A_EGD_155","Alexander","Hammiltoun","T_LA_15",,,,,"LEM","05_07_02_13:15:20","LEM","05_07_02_13:15:31"
"MW_LA_395","LA",395,"T_LA_1285","22_1_1630","01_22_30_00:00:00","Denounced","A_EGD_155","Alexander","Hammiltoun","T_LA_15",,,,,"LEM","05_07_02_13:17:05","LEM","05_07_02_13:19:24"
"MW_LA_396","LA",396,"T_LA_1286","22_1_1630","01_22_30_00:00:00","Denounced","A_EGD_155","Alexander","Hammiltoun","T_LA_15",,,,,"LEM","05_07_02_13:18:31","LEM","05_07_02_13:18:43"
"MW_LA_397","LA",397,"T_LA_1287","22_1_1630","01_22_30_00:00:00","Denounced","A_EGD_155","Alexander","Hammiltoun","T_LA_15",,,,,"LEM","05_07_02_13:25:53","LEM","05_07_02_13:26:21"
"MW_LA_398","LA",398,"T_LA_1288","22_1_1630","01_22_30_00:00:00","Denounced","A_EGD_155","Alexander","Hammiltoun","T_LA_15",,,,,"LEM","05_07_02_13:45:43","LEM","05_07_02_13:45:54"
"MW_LA_399","LA",399,"T_LA_11","14_3_1629","03_14_29_00:00:00","Denounced","A_LA_2585","Cristiane","Wilsoune","T_LA_142",,,,,"LEM","05_07_02_15:04:21","LEM","05_07_02_15:07:04"
